genres,movie_count
Action|Adventure|Comedy|Fantasy|Thriller,1
Drama|Horror|Mystery|Sci-Fi,1
Adventure|Animation|Family,1
Documentary|Drama,1
Action|Adventure|Drama|History|Romance,1
Animation|Family,1
Adventure|Animation|Drama|Family|Musical,1
Animation|Comedy|Family|Fantasy|Sci-Fi,1
Adventure|Animation|Drama|Family|Fantasy,1
Comedy|Drama|Family|Music|Musical|Romance,1
Biography|Comedy|Drama|History,1
Drama|Music|Musical,1
Comedy|Crime|Music,1
Action|Comedy|Romance|Thriller,1
Animation|Comedy|Family|Fantasy|Mystery,1
Action|Adventure|Romance|Thriller,1
Drama|History|Romance,1
Action|Drama|Fantasy|Romance,1
Action|Adventure|Animation|Family|Sci-Fi,1
Action|Drama|Sci-Fi,1
Animation|Comedy|Fantasy,1
Action|Animation|Comedy|Family,1
Action|Adventure|Comedy|Romance|Thriller,1
Adventure|Animation|Comedy,1
Adventure|Drama|War,1
Fantasy|Mystery|Romance|Sci-Fi|Thriller,1
Drama|Fantasy|Mystery|Thriller,1
Action|Drama|Fantasy|Horror|War,1
Adventure|Family|Fantasy|Romance,1
Comedy|Drama|Musical|Romance,1
Action|Sci-Fi|Sport,1
Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,1
Adventure|Animation|Family|Fantasy|Musical,1
Action|Crime|Mystery|Sci-Fi|Thriller,1
Adventure|Drama|History|Romance,1
Action|Drama|History|Thriller,1
Action|Adventure|Fantasy|War,1
Action|Adventure|Comedy|Romance|Thriller|Western,1
Comedy|Drama|Family|Musical,1
Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,1
Action|Fantasy|Sci-Fi|Thriller,1
Drama|Mystery|Romance,1
Adventure|Biography|Drama|History|Sport|Thriller,1
Crime|Drama|Fantasy,1
Adventure|Biography|Crime|Drama|Western,1
Action|War,1
Crime|Drama|Mystery|Thriller|Western,1
Crime|Drama|Fantasy|Mystery,1
Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,1
Documentary|Music,1
Animation|Family|Fantasy,1
Action|Fantasy|Horror|Sci-Fi,1
Biography|Drama|History|Sport,1
Horror|Mystery|Sci-Fi|Thriller,1
Drama|Fantasy|Sport,1
Adventure|Comedy|Drama|Music,1
Action|Fantasy|Horror|Sci-Fi|Thriller,1
Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,1
Drama|Fantasy|Mystery|Romance|Thriller,1
Action|Adventure|Drama|History|Romance|War,1
Drama|Fantasy|Mystery|Romance,1
Fantasy|Horror|Mystery|Romance,1
Adventure|Comedy|Family|Romance|Sci-Fi,1
Drama|Horror|Thriller,1
Action|Comedy|Mystery|Romance,1
Action|Adventure|Comedy|Romance|Sci-Fi,1
Action|Biography|Drama|History|Thriller|War,1
Adventure|Comedy|Family|Fantasy|Horror,1
Comedy|Family|Romance|Sci-Fi,1
Action|Comedy|Crime|Drama,1
Drama|Music|Romance|War,1
Action|Comedy|Drama|Family|Thriller,1
Action|Crime,1
Adventure|Animation|Drama|Family|History|Musical|Romance,1
Action|Adventure|Drama|Romance|Sci-Fi,1
Action|Adventure|Comedy|Family|Romance,1
Action|Adventure|Comedy|Western,1
Biography|Drama|History|Musical,1
Adventure|Drama|Horror|Thriller,1
Action|Drama|Sport|Thriller,1
Drama|Musical|Romance|Thriller,1
Adventure|Comedy|Crime|Family|Musical,1
Drama|Music|Musical|Romance,1
Drama|Mystery|Romance|War,1
Crime|Drama|Romance,1
Crime|Horror|Mystery|Thriller,1
Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,1
Action|Horror|Thriller,1
Drama|History|Horror,1
Comedy|Family|Musical|Romance,1
Romance|Sci-Fi|Thriller,1
Biography|Comedy|Drama|Romance,1
Mystery|Sci-Fi|Thriller,1
Adventure|Comedy|Drama|Fantasy|Musical,1
Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,1
Adventure|Comedy|Family|Fantasy|Romance|Sport,1
Adventure|Horror|Mystery,1
Action|Biography|Drama|History|War,1
Adventure|Comedy|Crime|Drama|Family,1
Action|Biography|Crime|Drama|Thriller,1
Action|Adventure|Comedy|Crime|Music|Mystery,1
Action|Crime|Drama|Sci-Fi|Thriller,1
Action|Adventure|Comedy|Drama|War,1
Crime|Drama|Music,1
Adventure|Crime|Drama|Western,1
Comedy|Drama|Thriller,1
Action|Comedy|Crime|Music|Romance|Thriller,1
Crime|Romance|Thriller,1
Action|Adventure|Drama|Sci-Fi|Thriller,1
Action|Drama|Fantasy|Thriller|Western,1
Action|Drama|Mystery|Thriller|War,1
Biography|Crime|Drama|Thriller,1
Action|Comedy|Crime|Romance,1
Action|Adventure|Family|Fantasy|Sci-Fi,1
Adventure|Comedy|Family|Musical,1
Action|Adventure|Horror|Thriller,1
Comedy|Drama|Music|Romance,1
Action|Crime|Drama|Romance|Thriller,1
Comedy|Family|Romance|Sport,1
Drama|Fantasy|Musical|Romance,1
Comedy|Musical,1
Biography|Drama|History,1
Action|Crime|Drama|Thriller|War,1
Action|Animation|Comedy|Family|Fantasy,1
Biography|Drama|History|Thriller,1
Action|Adventure|Crime|Drama|Mystery|Thriller,1
Animation|Family|Fantasy|Musical,1
Action|Fantasy|Western,1
Action|Drama|Family|Sport,1
Action|Biography|Drama|Thriller|War,1
Comedy|Drama|Sport,1
Adventure|Comedy|Sci-Fi|Western,1
Fantasy|Horror|Romance,1
Action|Adventure|Drama|Romance|War,1
Adventure|Comedy|Crime|Romance,1
Comedy|Drama|Family|Fantasy|Romance,1
Action|Adventure|Drama|Romance|Thriller,1
Comedy|Music|Romance,1
Action|Adventure|Crime|Fantasy|Mystery|Thriller,1
Adventure|Drama|Mystery,1
Biography|Crime|Drama|Music,1
Crime|Drama|Horror|Thriller,1
Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,1
Action|Adventure|Comedy|Music|Thriller,1
Adventure|Animation|Comedy|Crime|Family,1
Comedy|Romance|Sci-Fi|Thriller,1
Comedy|Crime|Family|Romance,1
Crime|Horror|Thriller,1
Action|Horror|Mystery|Sci-Fi|Thriller,1
Comedy|Fantasy|Sci-Fi,1
Adventure|Animation|Comedy|Fantasy|Romance,1
Action|Adventure|Family|Thriller,1
Adventure|Comedy|Drama|Romance|Thriller|War,1
Adventure|Animation|Comedy|Fantasy|Music|Romance,1
Action|Drama|Fantasy,1
Action|Adventure|Drama|Fantasy|War,1
Drama|Fantasy|Romance|Sci-Fi,1
Animation|Comedy|Family|Horror|Sci-Fi,1
Biography|Drama|Romance|Sport,1
Action|Biography|Drama,1
Adventure|Drama,1
Horror|Mystery|Sci-Fi,1
Action|Adventure|Drama|Thriller|Western,1
Adventure|Family|Fantasy|Sci-Fi,1
Adventure|Comedy|History|Romance,1
Action|Biography|Drama|Sport,1
Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,1
Biography|Comedy|Romance,1
Action|Biography|Drama|History,1
Adventure|Comedy|Family|Sci-Fi,1
Biography|Drama|Family|History|Sport,1
Biography|Comedy|Drama|History|Music,1
Fantasy|Horror,1
Comedy|Drama|Family|Sport,1
Comedy|Drama|Romance|Sci-Fi,1
Adventure|Animation|Comedy|Family|War,1
Action|Comedy|Sci-Fi|Thriller,1
Comedy|Horror,1
Drama|Thriller|War,1
Action|Western,1
