director_name,avg_score
"Olivier Megaton",6.233333333333334
"Joe Wright",6.225
"Tom Shadyac",6.216666666666668
"Steve Hickner",6.2
"Jos̩ Padilha",6.2
"Roger Spottiswoode",6.2
"Noam Murro",6.2
"Henry Selick",6.2
"Akiva Goldsman",6.2
"David Koepp",6.2
"Kevin Bray",6.2
"Alexander Witt",6.2
"Peter Webber",6.2
Costa-Gavras,6.2
"Richard LaGravenese",6.2
"Nicholas Stoller",6.2
"Frederik Du Chau",6.2
"Charles Shyer",6.2
"David Mirkin",6.2
"Irvin Kershner",6.2
"Alexandre Aja",6.2
"Allen Hughes",6.2
"Shawn Levy",6.199999999999999
"Dominic Sena",6.166666666666667
"Nora Ephron",6.166666666666667
"Jerry Zucker",6.15
"Pierre Morel",6.15
"Frank Marshall",6.15
"Russell Mulcahy",6.15
"Frank Oz",6.119999999999999
"Joel Schumacher",6.1000000000000005
"Sydney Pollack",6.1000000000000005
"Rupert Sanders",6.1
"Michael Apted",6.1
"John McTiernan",6.1
"Cedric Nicolas-Troyan",6.1
"Patrick Hughes",6.1
"Andy Tennant",6.1
"Kerry Conran",6.1
"Larry Charles",6.1
"Daniel Lee",6.1
"Sam Fell",6.1
"Griffin Dunne",6.1
"Jorge Blanco",6.1
"Tommy Wirkola",6.1
"Warren Beatty",6.1
"Peter Howitt",6.1
"John Herzfeld",6.1
"Christian Ditter",6.1
"Scott Mann",6.1
"Susanna White",6.1
"Peter Segal",6.08
"Jonathan Frakes",6.066666666666667
"Seth Gordon",6.066666666666666
"Ken Kwapis",6.066666666666666
McG,6.06
"Brian De Palma",6.050000000000001
"Paul Feig",6.05
"Robert Luketic",6.05
"Clark Johnson",6.05
"George Clooney",6.05
"Lawrence Kasdan",6.05
"Jon Avnet",6.05
"Richard Loncraine",6.05
"Wes Craven",6.05
"Stephen Sommers",6.033333333333334
"Brad Silberling",6.033333333333334
"Joe Dante",6.033333333333334
"Bobby Farrelly",6.028571428571429
"M. Night Shyamalan",6.025
"Paul W.S. Anderson",6.011111111111111
"Breck Eisner",6
"Florian Henckel von Donnersmarck",6
"Tarsem Singh",6
"Kevin Costner",6
"David Pastor",6
"Paul Tibbitt",6
"Kinka Usher",6
"Rob Bowman",6
"Harald Zwart",6
"Pou-Soi Cheang",6
"Sean Anders",6
"Barbet Schroeder",6
"Paul McGuigan",6
"Etan Cohen",6
"Jennifer Flackett",6
"Peter Yates",6
"Kevin Lima",5.949999999999999
"Stephen Hopkins",5.949999999999999
"Jesse Dylan",5.949999999999999
"Rob Minkoff",5.94
"Rob Letterman",5.933333333333334
"Rob Cohen",5.933333333333334
"Harold Becker",5.933333333333334
"Adam Shankman",5.92
"Kirk De Micco",5.9
"Terry Gilliam",5.9
"Oliver Hirschbiegel",5.9
"Will Gluck",5.9
"David S. Goyer",5.9
"Demian Lichtenstein",5.9
"Babak Najafi",5.9
"Anthony Hemingway",5.9
"John Madden",5.9
"Beeban Kidron",5.9
"Patrick Read Johnson",5.9
"James Wong",5.9
"John A. Davis",5.9
"Cal Brunker",5.9
"Jake Kasdan",5.9
"Irwin Winkler",5.9
"Kevin Smith",5.9
"Kevin Rodney Sullivan",5.9
"Gary David Goldberg",5.9
"Luke Greenfield",5.9
"Chris Carter",5.9
"Frank Coraci",5.883333333333333
"Anne Fletcher",5.866666666666667
"Richard Lester",5.85
"Steven Quale",5.85
"David R. Ellis",5.85
"Jonathan Liebesman",5.833333333333333
"Bill Condon",5.833333333333333
